user,degree,closeness,betweenness,listed,followers,tweets,non_tweets_sent,non_tweets_received,score
WORLDSTAR,0.0010152284263959391,0.0022819379108000456,0.0,0.035101907375702256,0.05929423706546933,0.0,0.017543859649122806,1.0,0.14660688
ahaffner1,0.0,0.0,0.0,0.00021508521676288147,1.0807299367890884e-05,0.0,0.2982456140350877,1.0,0.14657964
vvanghooo,0.0,0.0,0.0,1.7206817341030517e-05,1.7903000973071768e-06,0.0,0.2982456140350877,1.0,0.14648417
Tawni70783292,0.0,0.0,0.0,0.0,6.113219844463531e-07,0.0,0.2982456140350877,1.0,0.14647582
TheSource,0.008121827411167513,0.009127751643200182,0.0,0.02745347706761419,0.00753051528308236,0.0,0.05263157894736842,1.0,0.14195074
SneakersMas,0.007106598984771574,0.002028389254044485,0.0,0.0,1.0588970087731472e-06,0.0,0.22807017543859648,1.0,0.14194132
bosboutiques,0.003045685279187817,0.0010141946270222425,0.0,5.162045202309155e-05,1.8907315661805062e-05,0.0,0.22807017543859648,1.0,0.14136446
amartinez12701,0.0010152284263959391,0.0,0.0,0.00012044772138721362,2.3252068336977357e-06,0.0,0.22807017543859648,1.0,0.14109421
DealsKha,0.0,0.0,0.0,0.0,8.733171206376472e-08,0.0,0.22807017543859648,1.0,0.1408856
UnderArmour,0.0,0.0010141946270222425,0.0,0.02828800770865417,0.010374854562679137,0.0,0.03508771929824561,1.0,0.14001231
BumbletweetsLLC,0.002030456852791878,0.0,0.0,6.022386069360681e-05,2.7695069188221387e-05,0.0,0.19298245614035087,1.0,0.1384235
MarboahAsare,0.0010152284263959391,0.0,0.0,8.603408670515259e-06,6.46254669271859e-06,0.0,0.19298245614035087,1.0,0.13824603
Footaction,0.008121827411167513,0.009127751643200182,0.0,0.011528567618490446,0.0048997893711935515,0.0,0.08771929824561403,1.0,0.13688384
tomecurran,0.0,0.0010141946270222425,0.0,0.025001505596517343,0.0015020508651767135,0.0,0.017543859649122806,1.0,0.1362119
AmazonUK,0.003045685279187817,0.004225810945926011,0.0,0.01700033553293815,0.017591543338460358,0.0,0.03508771929824561,1.0,0.13574284
pintsizedmarina,0.0,0.0,0.0,0.0001290511300577289,3.0893593142556773e-06,0.0,0.15789473684210525,1.0,0.13535742
Heather68398032,0.0,0.0,0.0,0.0,2.510786721833236e-07,0.0,0.15789473684210525,1.0,0.13529544
cncpts,0.003045685279187817,0.0030425838810667276,0.0,0.004637237273407724,0.0012856647156107204,0.0,0.12280701754385964,1.0,0.13529079
allysonfelix,0.0,0.0010141946270222425,0.0,0.019073757022532327,0.007953277184719037,0.0,0.017543859649122806,1.0,0.13398151
pinlar75,0.0,0.0,0.0,0.0,7.3904461333960895e-06,0.0,0.14035087719298245,1.0,0.13389857
mrmoremoes,0.0,0.0,0.0,0.0,5.4582320039852955e-08,0.0,0.14035087719298245,1.0,0.13389789
LFC,0.0010152284263959391,0.002028389254044485,0.0,0.2143625304345582,0.18326297781444836,0.0,0.03508771929824561,0.09113504556752278,0.13380955
LongCreations7,0.0,0.0,0.0,0.020174993332358282,0.00018213028550898133,0.0,0.017543859649122806,1.0,0.13378014
products_hot,0.003045685279187817,0.0,0.0,0.000731289736993797,0.00010999429134431168,0.0,0.12280701754385964,1.0,0.13331276
ClineSandra1,0.0,0.0,0.0,0.004465169099997419,3.1581330375058915e-05,0.0,0.10526315789473684,1.0,0.13324106
Isabeli27662090,0.0040609137055837565,0.0,0.0,8.603408670515259e-06,3.384103842470883e-07,0.0,0.12280701754385964,1.0,0.13310769
KDTrey5,0.0010152284263959391,0.002028389254044485,0.0,0.20525152065248253,0.20595329583003957,0.0,0.03508771929824561,0.10273405136702568,0.13300155
FalolaMichael_9,0.002030456852791878,0.0,0.0,3.4413634682061034e-05,5.611062500096884e-06,0.0,0.12280701754385964,1.0,0.13281892
Size_Okay,0.0,0.0,0.0,0.0006022386069360681,4.007433937326004e-05,0.0,0.12280701754385964,1.0,0.13279209
PLeonardNYDN,0.0,0.0010141946270222425,0.0,0.01213940963409703,0.00034556066817230906,0.0,0.05263157894736842,1.0,0.13274778
BomberBreaks,0.0,0.0,0.0,0.0004129636161847324,2.771690211623733e-05,0.0,0.12280701754385964,1.0,0.13270041
rjclifestyle,0.0010152284263959391,0.0,0.0,0.0,1.016322799142062e-05,0.0,0.12280701754385964,1.0,0.13265209
Aaron68851088,0.0010152284263959391,0.0,0.0,0.0,3.2749392023911773e-07,0.0,0.12280701754385964,1.0,0.13265117
burgh2bmore,0.0,0.0,0.0,8.603408670515259e-06,7.641524805579414e-07,0.0,0.12280701754385964,1.0,0.13250452
VNegativity,0.0,0.0010141946270222425,0.0,8.603408670515259e-06,5.567396644065001e-07,0.0,0.12280701754385964,1.0,0.1325045
TiaGree22918843,0.0,0.0013522595026963233,0.0,0.0,8.51484192621706e-07,0.0,0.12280701754385964,1.0,0.13250041
analacubana7,0.0,0.0,0.0,0.0,4.80324416350706e-07,0.0,0.12280701754385964,1.0,0.13250038
hiroshi18562,0.0,0.0,0.0,0.0,4.475750243267942e-07,0.0,0.12280701754385964,1.0,0.13250037
DebbieP30865885,0.0,0.0,0.0,0.0,1.091646400797059e-08,0.0,0.12280701754385964,1.0,0.13250034
starchdesigns,0.002030456852791878,0.002028389254044485,0.0,0.0,2.40162208175353e-07,0.0,0.10526315789473684,1.0,0.13140441
RescueMenagerie,0.0010152284263959391,0.0,0.0,9.463749537566785e-05,4.137339859020854e-06,0.0,0.10526315789473684,1.0,0.13129923
25thommy,0.0010152284263959391,0.0010141946270222425,0.0,9.463749537566785e-05,2.074128161514412e-06,0.0,0.10526315789473684,1.0,0.13129903
NicMynhardt,0.0010152284263959391,0.0,0.0,7.743067803463733e-05,2.6319594723217095e-05,0.0,0.10526315789473684,1.0,0.13129309
urbnjnos2,0.0010152284263959391,0.0,0.0,0.0,1.069813472781118e-06,0.0,0.10526315789473684,1.0,0.13125369
RunBlogRun,0.005076142131979695,0.003169358209444508,0.023255813953488372,0.007278483735255909,0.00038515468312921836,0.0,0.05263157894736842,1.0,0.13118094
Jhoody135,0.0,0.0,0.0,0.0,7.641524805579414e-07,0.0,0.10526315789473684,1.0,0.13110286
KellyMarti1,0.0,0.0,0.0,0.0,2.8382806420723533e-07,0.0,0.10526315789473684,1.0,0.13110282
MonkeyThreads,0.0010152284263959391,0.0,0.0,0.0009549783624271937,3.421219820097983e-05,0.0,0.08771929824561403,1.0,0.13031593
Resale116,0.0010152284263959391,0.0,0.0,0.0006796692849707054,3.129750231085168e-05,0.0,0.08771929824561403,1.0,0.13018401
phoenixartstu,0.0,0.0,0.0,0.0007398931456643122,2.051203587097674e-05,0.0,0.08771929824561403,1.0,0.13006099
Devstronaut,0.002030456852791878,0.0030425838810667276,0.0,0.0,1.015231152741265e-06,0.0,0.08771929824561403,1.0,0.13000694
tanya_kaka,0.0,0.0,0.0,0.00047318747687833925,2.3415815297096916e-05,0.0,0.08771929824561403,1.0,0.12993371
Moises__04,0.0010152284263959391,0.0,0.0,8.603408670515259e-06,8.853252310464149e-06,0.0,0.08771929824561403,1.0,0.12986098
WingedPharaoh,0.0010152284263959391,0.0,0.0,8.603408670515259e-06,4.584914883347648e-07,0.0,0.08771929824561403,1.0,0.1298602
patty35757,0.0,0.0,0.0,0.0001290511300577289,4.628580739379531e-06,0.0,0.08771929824561403,1.0,0.12976739
tretre_,0.0,0.0,0.0,8.603408670515259e-05,5.9931387403758545e-06,0.0,0.08771929824561403,1.0,0.12974694
_YunggTyga,0.0,0.0,0.0,2.5810226011545774e-05,6.211468020535266e-06,0.0,0.08771929824561403,1.0,0.12971817
WilsonTennis,0.0,0.0010141946270222425,0.0,0.011330689219068596,0.0018431357831057546,0.0,0.017543859649122806,1.0,0.12970625
tashadiva4evr,0.0,0.0,0.0,0.0,1.1243957928209708e-06,0.0,0.08771929824561403,1.0,0.12970535
blitzffort,0.0,0.0,0.0,0.0,1.7466342412752945e-07,0.0,0.08771929824561403,1.0,0.12970527
missroee98,0.0,0.0,0.0,0.0,4.366585603188236e-08,0.0,0.08771929824561403,1.0,0.12970525
bodega,0.0,0.0010141946270222425,0.0,0.004164049796529385,0.0028331171545965834,0.0,0.05263157894736842,1.0,0.12916687
BSNSPORTS_Knox,0.0040609137055837565,0.0050709731351112125,0.0,3.4413634682061034e-05,9.671987111061943e-06,0.0,0.07017543859649122,1.0,0.12892827
ThSlidesareNike,0.003045685279187817,0.0010141946270222425,0.0,0.0,1.0916464007970591e-07,0.0,0.07017543859649122,1.0,0.12876011
5stocksinto,0.0010152284263959391,0.0,0.0,0.0005506181549129765,1.4027656250242209e-05,0.0,0.07017543859649122,1.0,0.12872313
AmyBrantley,0.0010152284263959391,0.0,0.0,0.0005076011115604002,1.4464314810561033e-05,0.0,0.07017543859649122,1.0,0.1287026
OfftoCtheLizard,0.0,0.0,0.0,0.0037338793630036222,3.878619662031951e-05,0.0,0.05263157894736842,1.0,0.12869939
awilda356,0.002030456852791878,0.0,0.0,0.0,4.1482563230288246e-07,0.0,0.07017543859649122,1.0,0.12860934
Harrison_Grimm,0.0,0.0010141946270222425,0.0,0.0005076011115604002,2.1789262159909298e-05,0.0,0.07017543859649122,1.0,0.12855248
Duncanville_TF,0.010152284263959392,0.010141946270222425,0.09302325581395349,0.00011184431271669836,3.976867838103686e-05,0.0,0.05263157894736842,1.0,0.1284754
MadGrad_Deals,0.0010152284263959391,0.0,0.0,1.7206817341030517e-05,3.296772130407118e-06,0.0,0.07017543859649122,1.0,0.12846704
lmkdeals4455,0.0010152284263959391,0.0010141946270222425,0.0,8.603408670515259e-06,1.015231152741265e-06,0.0,0.07017543859649122,1.0,0.12846272
RichHunter22,0.0010152284263959391,0.0,0.0,8.603408670515259e-06,1.0588970087731472e-06,0.0,0.07017543859649122,1.0,0.12846272
LosTats,0.0010152284263959391,0.0010141946270222425,0.0,0.0,4.312003283148383e-06,0.0,0.07017543859649122,1.0,0.1284589
RodrigoMayen01,0.0010152284263959391,0.0,0.0,0.0,2.9474452821520594e-07,0.0,0.07017543859649122,1.0,0.12845853
alllocalpolitic,0.0,0.0,0.0,0.00024089544277442723,0.00014909706542086233,0.0,0.07017543859649122,1.0,0.12843686
pete_beasy,0.0,0.0,0.0,0.0,3.853511794813618e-06,0.0,0.07017543859649122,1.0,0.12830806
MariaOcegueda6,0.0,0.0,0.0,0.0,2.1832928015941182e-07,0.0,0.07017543859649122,1.0,0.12830772
jaesoowi,0.0,0.0,0.0,0.0,8.733171206376472e-08,0.0,0.07017543859649122,1.0,0.1283077
NoNifty,0.0,0.0,0.0,0.0,7.641524805579414e-08,0.0,0.07017543859649122,1.0,0.1283077
ac_dzn,0.006091370558375634,0.0,0.0,0.0001290511300577289,2.1014193215343385e-05,0.0,0.05263157894736842,1.0,0.12787865
THEDOPESOLE,0.006091370558375634,0.0010141946270222425,0.11627906976744186,4.3017043352576295e-05,9.344493190822826e-06,0.0,0.05263157894736842,1.0,0.12783642
SouthernGemGal,0.002030456852791878,0.0,0.0,0.003880137310402382,3.177782672720239e-05,0.0,0.03508771929824561,1.0,0.12767273
SU2CUK,0.0,0.0010141946270222425,0.0,0.0013851487959529566,0.0007944893340360916,0.0,0.05263157894736842,1.0,0.12764698
slamjam,0.0010152284263959391,0.0022819379108000456,0.0,0.0009463749537566785,0.0002142901884764627,0.0,0.05263157894736842,1.0,0.1275336
