user,degree,closeness,betweenness,listed,followers,tweets,non_tweets_sent,non_tweets_received,score
Crowdfire,0.00023218017181332715,0.00023218017181332715,0.0,6740,5290418,0.0,14.0,9.0,498833.75
midoahm,0.00023218017181332715,0.00023218017181332715,0.0,1753,5287807,0.0,1.0,2.0,496202.38
Atleti,0.0006965405154399814,0.0006965405154399814,0.0,7483,4884110,0.0,3.0,120.0,461138.72
AppStore,0.00023218017181332715,0.00030957356241776953,0.0,23121,4535287,1.0,0.0,0.0,435924.3
Podolski10,0.00023218017181332715,0.00023218017181332715,0.0,6890,3454663,0.0,6.0,50.0,326935.66
Alexis_Sanchez,0.00023218017181332715,0.00023218017181332715,0.0,3797,2921603,0.0,1.0,2764.0,275851.9
shattawalegh,0.026700719758532623,0.025771999071279313,0.0,406,2837118,0.0,1.0,2764.0,266315.72
DeBruyneKev,0.00023218017181332715,0.00023218017181332715,0.0,2848,2543745,0.0,2.0,4.0,239661.6
Etsy,0.0004643603436266543,0.0004643603436266543,0.0,14943,2434286,0.0,2.0,3.0,235191.34
Inter,0.00023218017181332715,0.00023218017181332715,0.0,5156,2318493,0.0,2.0,6.0,219663.88
ElHadary,0.00023218017181332715,0.00023218017181332715,0.0,383,2274519,0.0,3.0,122.0,213276.16
AS_Monaco,0.00023218017181332715,0.00023218017181332715,0.0,2333,2235215,0.0,1.0,1.0,210511.66
USMNT,0.00023218017181332715,0.00023218017181332715,0.0,12386,2138089,1.0,0.0,0.0,206220.23
goal,0.00023218017181332715,0.00023218017181332715,0.0,6030,2161635,0.0,2.0,6.0,205387.31
FA,0.0006965405154399814,0.0006965405154399814,0.0,6587,2142519,1.0,0.0,0.0,203862.06
