Source,Target,type_of_content
DeadsyDoll,BGirlVentures,Retweet
swagafiedkicks,hoodsbasketball,Retweet
swagafiedkicks,swooshsupply,Retweet
CentralChartsEN,Nike,Mention
Londinia_IA,Londinia_IA,Tweet
t_ojewunmi,Cf00tStore,Retweet
Cf00tStore,Cf00tStore,Tweet
TStarkita,TStarkita,Tweet
SnkrsStore,SnkrsStore,Tweet
Dude4One,FAMU_MBB,Retweet
Dude4One,KingJames,Retweet
artcgecko,eBay,Mention
TheScoutNet,121Performance,Retweet
NBLengland,hoodsbasketball,Retweet
OptionsProVol,MinteractApp,Retweet
OptionsProOI,MinteractApp,Retweet
OptionsMaxPain,MinteractApp,Retweet
MITickWatcher,MinteractApp,Retweet
AFEWSTORE,AFEWSTORE,Tweet
ClingerChrissy,Poshmarkapp,Mention
ClingerChrissy,EvelandMarye,Mention
BrewtifulU,Poshmarkapp,Mention
JulieMa24681944,Poshmarkapp,Mention
JulieMa24681944,ByKimberli,Mention
jasbeststyle,Poshmarkapp,Mention
AddicatDesigns,Poshmarkapp,Mention
Jess37995247,Poshmarkapp,Mention
SuggsThosha,Poshmarkapp,Mention
Coloursxo,Coloursxo,Retweet
UnparalleledS,Poshmarkapp,Mention
ctinatrajano,Poshmarkapp,Mention
chauarmiore,Poshmarkapp,Mention
FlipzStellaz,Poshmarkapp,Mention
FlipzStellaz,HartmanMisty,Mention
TickwatcherMF,MinteractApp,Retweet
FactsOn02351918,Shoewareco,Retweet
BullionRenee,Poshmarkapp,Mention
BullionRenee,janetb17,Mention
Chynasthrift,Poshmarkapp,Mention
SamanthaKYanez1,Poshmarkapp,Mention
CarolynMcGraw9,Poshmarkapp,Mention
Shoecast1,Shoewareco,Retweet
candiedjams4u,Poshmarkapp,Mention
NickBarkenhagen,DigiSliceX,Retweet
NickBarkenhagen,SweetStreetWear,Retweet
aaronscloset1,Poshmarkapp,Mention
bxfashionLLC,Poshmarkapp,Mention
Tammieposh1,Poshmarkapp,Mention
Tammieposh1,QRecollections,Mention
69bellababy,Poshmarkapp,Mention
69bellababy,TerryLee3886,Mention
69bellababy,Dennyknoblauch1,Mention
steeniejee,Poshmarkapp,Mention
steeniejee,JBold23,Mention
MinteractApp,MinteractApp,Tweet
LisaSco53648225,Poshmarkapp,Mention
lady_sanders11,Poshmarkapp,Mention
lady_sanders11,fashion_katz,Mention
EvaVilches7,Poshmarkapp,Mention
SarahVillamarin,Poshmarkapp,Mention
CoachCooke16QB,BGirlVentures,Retweet
GabrielsChrista,GabrielsChrista,Tweet
Moises__04,FAMU_MBB,Retweet
Moises__04,KingJames,Retweet
GabrielsChrista,GabrielsChrista,Tweet
itsgivingme,FAMU_MBB,Retweet
itsgivingme,KingJames,Retweet
withejays,FAMU_MBB,Retweet
withejays,KingJames,Retweet
boywonder_brand,No_Sweat,Retweet
Cashhman_,FAMU_MBB,Retweet
Cashhman_,KingJames,Retweet
hoodsbasketball,hoodsbasketball,Tweet
Booows,World_Musiclife,Retweet
30xcodes,JournalJohn_,Retweet
RedNileShop,NameBrandEx,Retweet
FootyZoneNet,ke_8423,Retweet
xaelbot,JournalJohn_,Retweet
JournalJohn_,JournalJohn_,Tweet
NameBrandEx,NameBrandEx,Tweet
carliverga,BoyBroadsword,Retweet
flawlessiamthe1,FAMU_MBB,Retweet
flawlessiamthe1,KingJames,Retweet
soberblackgirls,BGirlVentures,Retweet
Khadiforever,BGirlVentures,Retweet
BiCaNdyBitch,BGirlVentures,Retweet
Shoewareco,Shoewareco,Tweet
pealcuco,pealcuco,Tweet
espeberg,Grillenem,Retweet
espeberg,Grillenem,Retweet
DragonTat2,No_Sweat,Retweet
anisiasade,BGirlVentures,Retweet
_fragolina88,_fragolina88,Tweet
thelilfairtrade,cleanclothes,Retweet
thelilfairtrade,Nike,Retweet
anonnclchav,anonnclchav,Tweet
Rafomusic,Rafomusic,Tweet
handmadebyetra1,handmadebyetra1,Tweet
attitudeinc,nyjah,Mention
warriortilend,BGirlVentures,Retweet
swagafiedkicks,Creativ76391546,Retweet
swagafiedkicks,foodballshorts,Retweet
VivaPabloPancho,eBay,Mention
VivaPabloPancho,eBay,Mention
foodballshorts,foodballshorts,Tweet
HA7CLASSICS,HA7CLASSICS,Tweet
ReggieMacworthy,ReggieMacworthy,Tweet
sondrawomen,FAMU_MBB,Retweet
sondrawomen,KingJames,Retweet
LikeKobe100,Nike,Mention
LikeKobe100,kanyewest,Mention
jamaalaldin_tv,jamaalaldin_tv,Tweet
miss_mariiaaa,Etsy,Mention
tonyjamesrun,tonyjamesrun,Tweet
lucas_pimenta,footlocker,Retweet
Creativ76391546,Creativ76391546,Tweet
ShoppingAnd,Poshmarkapp,Mention
BMuchelenje1,kitmakerdreamer,Retweet
phillymacofkc,Poshmarkapp,Mention
jgo1187_good,Poshmarkapp,Mention
jgo1187_good,calliescashey,Mention
atouchofkenya,Poshmarkapp,Mention
atouchofkenya,freerangetexas,Mention
HVGLLCUSA,Poshmarkapp,Mention
DivineHighly,Poshmarkapp,Mention
DivineHighly,aaronscloset1,Mention
Gnaj67,Poshmarkapp,Mention
Gnaj67,SuggsThosha,Mention
Gnaj67,starchdesigns,Mention
whitmore345,Poshmarkapp,Mention
connections_llc,Poshmarkapp,Mention
luvpesina,Poshmarkapp,Mention
OurBasketcase,Poshmarkapp,Mention
luzparedez6,Poshmarkapp,Mention
luzparedez6,Dlphnaloha1,Mention
FreshAli1,SneakerCon,Retweet
RuggieroPattie,Poshmarkapp,Mention
handmeupresale,Poshmarkapp,Mention
TheSportsPerfo2,121Performance,Retweet
sneakerjagers,sneakerjagers,Tweet
ke_8423,ke_8423,Tweet
Jake_Sims25,Jake_Sims25,Tweet
jamaalaldin_tv,jamaalaldin_tv,Tweet
ekene_ezigbo,ekene_ezigbo,Tweet
tiffinniyoung,FAMU_MBB,Retweet
tiffinniyoung,KingJames,Retweet
561Rattler,FAMU_MBB,Retweet
561Rattler,KingJames,Retweet
stephmarie729,TheReal_ChrisLo,Retweet
alllocalpolitic,BGirlVentures,Retweet
Real_JRoe,FAMU_MBB,Retweet
Real_JRoe,KingJames,Retweet
FAMUAthletics,FAMU_MBB,Retweet
FAMUAthletics,KingJames,Retweet
MJTheProdigy_,FAMU_MBB,Retweet
MJTheProdigy_,KingJames,Retweet
CarinLeffler,cleanclothes,Retweet
CarinLeffler,Nike,Retweet
CarinLeffler,amazon,Retweet
Yhanz33,DigiSliceX,Retweet
Yhanz33,SweetStreetWear,Retweet
merterdo1,DigiSliceX,Retweet
merterdo1,SweetStreetWear,Retweet
ncl_tweets,ncl_tweets,Tweet
jamaalaldin_tv,jamaalaldin_tv,Tweet
CornerBargain,Poshmarkapp,Mention
BethHutchison12,Poshmarkapp,Mention
BethHutchison12,DEB2171,Mention
Annette41404500,Poshmarkapp,Mention
Annette41404500,LADYC20161,Mention
queendom_luxe,Poshmarkapp,Mention
queendom_luxe,ModelCandice,Mention
WingedPharaoh,Poshmarkapp,Mention
WingedPharaoh,Compare_2_None,Mention
jen45006678,Poshmarkapp,Mention
jen45006678,Deborah668491,Mention
jen45006678,Armoiredecc,Mention
shetly2002,Poshmarkapp,Mention
shetly2002,LilyWhi04171450,Mention
HeggsFresh,FAMU_MBB,Retweet
HeggsFresh,KingJames,Retweet
ChangeMe4me,Poshmarkapp,Mention
ChangeMe4me,Compare_2_None,Mention
ChangeMe4me,VictoriaTemple,Mention
garymheffernan,garymheffernan,Tweet
roundthecuckoo,Poshmarkapp,Mention
BaTaGuR4,BaturyCatalin,Retweet
BaTaGuR4,stormxio,Retweet
BaTaGuR4,Nike,Retweet
SitOrSell,SitOrSell,Tweet
LucyJuneau,cleanclothes,Retweet
LucyJuneau,Nike,Retweet
DrOevermann,DrOevermann,Tweet
DrOevermann,DrOevermann,Tweet
SportsPara,SportsPara,Tweet
ChillWillNupe88,BGirlVentures,Retweet
FastSoleUK,FastSoleUK,Tweet
daisyp19,daisyp19,Tweet
SitOrSell,SitOrSell,Tweet
gregrossiter,SoleCollector,Mention
FastSoleUK,FastSoleUK,Tweet
brothers_salman,brothers_salman,Tweet
BethPaintings,BethPaintings,Retweet
CoachCollins17,FAMU_MBB,Retweet
CoachCollins17,KingJames,Retweet
FastSoleUK,FastSoleUK,Tweet
ayo__Red,FAMU_MBB,Retweet
ayo__Red,KingJames,Retweet
JonFordX,FAMU_MBB,Retweet
JonFordX,KingJames,Retweet
bargain_express,eBay,Mention
gotenbcn,liekemartens1,Retweet
gotenbcn,touzani7,Retweet
MrSeminoleChris,FAMU_MBB,Retweet
MrSeminoleChris,KingJames,Retweet
RoadmapProgress,BGirlVentures,Retweet
